company_id,company_name,employee_count,employee_count_low,n_sectors,sectors,n_divisions,divisions
35469605,Danpumps A/S,32,32,1,Handel,1,Engroshandel med andre maskiner og andet udstyr
35469761,Notora ApS,32,32,1,It- og informationstjenester,1,Konsulentbistand vedrørende informationsteknologi
35469796,Afgiftsportal ApS,7,7,1,Handel,2,Detailhandel med personbiler; Engroshandel med personbiler
35470875,Tandlægerne Christiansfeld I/S,11,11,1,Sundhedsvæsen,1,Praktiserende tandlæger
35471197,Nyborg & Rørdam Advokatfirma P/S,28,28,1,Rådgivning mv.,1,Juridisk bistand
35471553,Grillen Group ApS,12,12,1,Rejsebureauer  rengøring og anden operationel service,1,Kombinerede administrationsserviceydelser
35472738,Parkpark A/S,11,11,1,Transport,1,Parkering og vejhjælp mv.
35473025,PatientSky Danmark ApS,21,21,1,It- og informationstjenester,1,Konsulentbistand vedrørende informationsteknologi
35474927,www.coolpriser.dk ApS,NA,NA,1,Handel,1,Agenturhandel med blandet sortiment
35475133,AiS Danmark ApS,4,4,1,Handel,2,Engroshandel med andre råvarer og halvfabrikata; Engroshandel med andre maskiner og andet udstyr
