job_id,skill
1037564,communication
1037564,personal-development
1037564,english
1037564,danish
1037564,business
1037564,security
1037564,support
1037564,documentation
1037564,collaboration
1037564,communications
1037567,dansk
1037567,økonomi
1037567,engelsk
1037567,lægemidler
1037567,svensk
1037567,medicinsk-udstyr
1037572,dansk
1037572,projektstyring
1037572,support
1037572,kommunikation
1037572,engelsk
1037572,arbejde-selvstændigt
1037579,energi
1037580,kommunikation
1037580,gennemslagskraft
1037580,planlægge-produktion
1037581,databeskyttelse
1037581,security
1037581,risikostyring
1037588,communication
1037588,data-quality
1037588,write-english
1037588,personal-development
1037588,engineering
1037588,support
1037588,energy
1037588,geophysics
1037588,play
1037589,personlig-udvikling
1037594,konflikthåndtering
1037594,databeskyttelse
1037595,personlig-udvikling
1037595,energi
1037595,arbejde-selvstændigt
1037598,høreapparater
1037598,support
1037609,rekruttere-medarbejdere
1037609,samarbejde-med-kolleger
1037612,rekruttere-medarbejdere
1037612,samarbejde-med-undervisere
1037612,chef
1037615,danish
1037615,work-independently
1037615,support
1037615,documentation
1037615,user-interface
1037615,psychology
1037615,personal-development
1037615,engineering
1037615,surgery
1037615,design
1037615,marketing
1037615,collaboration
1037615,usability-engineering
1037615,risk-management
1037615,communication
1037615,mobile
1037615,english
1037615,anthropology
1037615,industrial-design
1037620,pharmaceutical-industry
1037620,toxicology
1037620,danish
1037620,support
1037620,documentation
1037620,pharmacology
1037620,personal-development
1037620,surgery
1037620,engineering
1037620,design
1037620,marketing
1037620,medical-devices
1037620,collaboration
1037620,risk-management
1037620,testing
1037620,biology
1037620,communication
1037620,mobile
1037620,english
1037620,literature
1037622,spanish
1037622,english
1037622,engineering
1037622,design
1037622,support
1037622,documentation
1037622,robot
1037622,french
1037627,konflikthåndtering
1037627,databeskyttelse
1037627,bestille-varer
1037628,databeskyttelse
1037628,gennemslagskraft
1037628,security
1037628,risikostyring
1037629,konflikthåndtering
1037629,databeskyttelse
1037629,bestille-varer
1037634,dansk
1037634,filosofi
1037634,box
1037634,english
1037634,danish
1037634,business
1037634,peer-to-peer
1037634,support
1037634,politik
1037634,documentation
1037634,psykologi
1037634,entrepreneurship
1037634,engelsk
1037634,sociologi
1037634,testing
1037634,finance
1037634,business-intelligence
1037634,historie
1037639,økonomistyring
1037640,økonomistyring
1037640,økonomi
1037641,firefox
1037641,økonomi
1037641,security
1037641,økonomistyring
1037641,chrome
1037643,dansk
1037643,engelsk
1037643,skabe-nye-koncepter
1037644,languages
1037644,employment-law
1037644,english
1037644,danish
1037644,conflict-management
1037644,security
1037644,support
1037644,framework
1037644,first-aid
1037649,communication
1037649,languages
1037649,employment-law
1037649,market-research
1037649,english
1037649,danish
1037649,business
1037649,security
1037649,support
1037649,collaboration
1037649,framework
1037649,international-trade
1037649,crm
1037660,dansk
1037660,norsk
1037660,business
1037660,design
1037660,marketing
1037660,engelsk
1037660,svensk
1037669,dansk
1037669,filosofi
1037669,box
1037669,english
1037669,danish
1037669,business
1037669,design
1037669,material
1037669,politik
1037669,collaboration
1037669,psykologi
1037669,entrepreneurship
1037669,engelsk
1037669,sociologi
1037669,documentation
1037669,testing
1037669,finance
1037669,historie
1037670,fysik
1037670,træffe-beslutninger
1037670,geografi
1037670,c
1037670,statistik
1037673,dansk
1037673,kundeservice
1037673,svensk
1037673,arbejde-selvstændigt
1037674,medical-device-regulations
1037674,communication
1037674,process-applications
1037674,write-english
1037674,audiology
1037674,engineering
1037674,danish
1037674,software
1037674,design
1037674,project-management
1037674,hearing-aids
1037674,algorithms
1037674,electronics
1037674,energy
1037674,monitoring
1037674,interaction
1037676,dansk
